acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,135,,,,None,1,m,0,30,,,,,,,,,,,,,m,128,,,,,,,,,0,,None
100,100,135,,,,None,1,m,0,31,,,,,,,,,,,,,m,143,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,32,,,,,,,,,,,,,m,142,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,33,,,,,,,,,,,,,m,138,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,34,,,,,,,,,,,,,m,155,,,,,,,,,0,,None
100,100,136,,,,None,1,m,0,35,,,,,,,,,,,,,m,141,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,36,,,,,,,,,,,,,m,149,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,37,,,,,,,,,,,,,m,135,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,38,,,,,,,,,,,,,m,144,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,39,,,,,,,,,,,,,m,143,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,40,,,,,,,,,,,,,m,124,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,41,,,,,,,,,,,,,m,158,,,,,,,,,0,,None
100,100,138,,,,None,1,m,0,42,,,,,,,,,,,,,m,153,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,43,,,,,,,,,,,,,m,110,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,44,,,,,,,,,,,,,m,160,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,45,,,,,,,,,,,,,m,135,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,46,,,,,,,,,,,,,m,134,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,47,,,,,,,,,,,,,m,131,,,,,,,,,0,,None
100,100,137,,,,None,1,m,0,48,,,,,,,,,,,,,m,127,,,,,,,,,0,,None
100,100,138,,,,None,1,m,0,49,,,,,,,,,,,,,m,176,,,,,,,,,0,,None
100,100,89,,,,None,1,m,0,0,,,,,,,,,,,,,m,89,,,,,,,,,1,,None
100,100,100,,,,None,1,m,0,1,,,,,,,,,,,,,m,110,,,,,,,,,1,,None
100,100,95,,,,None,1,m,0,2,,,,,,,,,,,,,m,87,,,,,,,,,1,,None
100,100,106,,,,None,1,m,0,3,,,,,,,,,,,,,m,136,,,,,,,,,1,,None
100,100,109,,,,None,1,m,0,4,,,,,,,,,,,,,m,125,,,,,,,,,1,,None
100,100,113,,,,None,1,m,0,5,,,,,,,,,,,,,m,132,,,,,,,,,1,,None
100,100,115,,,,None,1,m,0,6,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,115,,,,None,1,m,0,7,,,,,,,,,,,,,m,108,,,,,,,,,1,,None
100,100,109,,,,None,1,m,0,8,,,,,,,,,,,,,m,67,,,,,,,,,1,,None
100,100,112,,,,None,1,m,0,9,,,,,,,,,,,,,m,132,,,,,,,,,1,,None
100,100,112,,,,None,1,m,0,10,,,,,,,,,,,,,m,115,,,,,,,,,1,,None
100,100,113,,,,None,1,m,0,11,,,,,,,,,,,,,m,125,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,12,,,,,,,,,,,,,m,153,,,,,,,,,1,,None
100,100,117,,,,None,1,m,0,13,,,,,,,,,,,,,m,130,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,14,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,15,,,,,,,,,,,,,m,114,,,,,,,,,1,,None
100,100,117,,,,None,1,m,0,16,,,,,,,,,,,,,m,105,,,,,,,,,1,,None
100,100,117,,,,None,1,m,0,17,,,,,,,,,,,,,m,125,,,,,,,,,1,,None
100,100,118,,,,None,1,m,0,18,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,19,,,,,,,,,,,,,m,136,,,,,,,,,1,,None
100,100,119,,,,None,1,m,0,20,,,,,,,,,,,,,m,110,,,,,,,,,1,,None
100,100,120,,,,None,1,m,0,21,,,,,,,,,,,,,m,150,,,,,,,,,1,,None
100,100,122,,,,None,1,m,0,22,,,,,,,,,,,,,m,159,,,,,,,,,1,,None
100,100,122,,,,None,1,m,0,23,,,,,,,,,,,,,m,128,,,,,,,,,1,,None
100,100,123,,,,None,1,m,0,24,,,,,,,,,,,,,m,138,,,,,,,,,1,,None
100,100,124,,,,None,1,m,0,25,,,,,,,,,,,,,m,146,,,,,,,,,1,,None
100,100,124,,,,None,1,m,0,26,,,,,,,,,,,,,m,132,,,,,,,,,1,,None
100,100,124,,,,None,1,m,0,27,,,,,,,,,,,,,m,127,,,,,,,,,1,,None
100,100,125,,,,None,1,m,0,28,,,,,,,,,,,,,m,142,,,,,,,,,1,,None
100,100,125,,,,None,1,m,0,29,,,,,,,,,,,,,m,127,,,,,,,,,1,,None
100,100,125,,,,None,1,m,0,30,,,,,,,,,,,,,m,122,,,,,,,,,1,,None
100,100,125,,,,None,1,m,0,31,,,,,,,,,,,,,m,125,,,,,,,,,1,,None
100,100,125,,,,None,1,m,0,32,,,,,,,,,,,,,m,146,,,,,,,,,1,,None
100,100,126,,,,None,1,m,0,33,,,,,,,,,,,,,m,136,,,,,,,,,1,,None
100,100,126,,,,None,1,m,0,34,,,,,,,,,,,,,m,147,,,,,,,,,1,,None
100,100,126,,,,None,1,m,0,35,,,,,,,,,,,,,m,124,,,,,,,,,1,,None
100,100,126,,,,None,1,m,0,36,,,,,,,,,,,,,m,110,,,,,,,,,1,,None
100,100,126,,,,None,1,m,0,37,,,,,,,,,,,,,m,120,,,,,,,,,1,,None
100,100,126,,,,None,1,m,0,38,,,,,,,,,,,,,m,155,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,39,,,,,,,,,,,,,m,139,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,40,,,,,,,,,,,,,m,152,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,41,,,,,,,,,,,,,m,136,,,,,,,,,1,,None
100,100,127,,,,None,1,m,0,42,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,43,,,,,,,,,,,,,m,133,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,44,,,,,,,,,,,,,m,135,,,,,,,,,1,,None
100,100,128,,,,None,1,m,0,45,,,,,,,,,,,,,m,145,,,,,,,,,1,,None
